light_id,grid_zone,avg_load_percent,outage_history_count
SL-0001,ZONE-B,84.81,3
SL-0002,ZONE-C,65.72,1
SL-0003,ZONE-D,77.47,3
SL-0004,ZONE-E,67.4,1
SL-0005,ZONE-A,70.54,2
SL-0006,ZONE-B,81.52,4
SL-0007,ZONE-C,72.99,1
SL-0008,ZONE-D,75.07,4
SL-0009,ZONE-E,73.74,1
SL-0010,ZONE-A,79.57,1
SL-0011,ZONE-B,82.98,4
SL-0012,ZONE-C,67.55,1
SL-0013,ZONE-D,79.05,1
SL-0014,ZONE-E,73.08,1
SL-0015,ZONE-A,77.43,1
SL-0016,ZONE-B,83.08,7
SL-0017,ZONE-C,70.21,2
SL-0018,ZONE-D,74.64,0
SL-0019,ZONE-E,70.8,2
SL-0020,ZONE-A,77.65,3
SL-0021,ZONE-B,81.91,4
SL-0022,ZONE-C,69.5,0
SL-0023,ZONE-D,76.61,2
SL-0024,ZONE-E,70.09,0
SL-0025,ZONE-A,72.91,0
SL-0026,ZONE-B,86.5,6
SL-0027,ZONE-C,66.22,2
SL-0028,ZONE-D,79.14,1
SL-0029,ZONE-E,75.15,3
SL-0030,ZONE-A,78.65,3
SL-0031,ZONE-B,81.25,7
SL-0032,ZONE-C,65.87,1
SL-0033,ZONE-D,73.92,1
SL-0034,ZONE-E,67.56,0
SL-0035,ZONE-A,74.05,2
SL-0036,ZONE-B,80.07,8
SL-0037,ZONE-C,65.92,1
SL-0038,ZONE-D,81.42,7
SL-0039,ZONE-E,68.78,1
SL-0040,ZONE-A,74.31,1
SL-0041,ZONE-B,81.05,8
SL-0042,ZONE-C,70.83,1
SL-0043,ZONE-D,74.42,0
SL-0044,ZONE-E,74.9,2
SL-0045,ZONE-A,77.59,2
SL-0046,ZONE-B,83.64,4
SL-0047,ZONE-C,69.78,2
SL-0048,ZONE-D,75.93,2
SL-0049,ZONE-E,75.79,4
SL-0050,ZONE-A,77.21,4
SL-0051,ZONE-B,84.61,8
SL-0052,ZONE-C,68.28,0
SL-0053,ZONE-D,77.56,3
SL-0054,ZONE-E,72.17,0
SL-0055,ZONE-A,71.65,2
SL-0056,ZONE-B,84.57,8
SL-0057,ZONE-C,66.31,1
SL-0058,ZONE-D,79.84,4
SL-0059,ZONE-E,67.03,0
SL-0060,ZONE-A,72.36,0
SL-0061,ZONE-B,82.55,8
SL-0062,ZONE-C,71.2,0
SL-0063,ZONE-D,78.79,2
SL-0064,ZONE-E,69.21,0
SL-0065,ZONE-A,73.78,1
SL-0066,ZONE-B,82.68,6
SL-0067,ZONE-C,72.36,0
SL-0068,ZONE-D,75.41,4
SL-0069,ZONE-E,66.44,2
SL-0070,ZONE-A,73.27,1
SL-0071,ZONE-B,81.22,8
SL-0072,ZONE-C,69.01,1
SL-0073,ZONE-D,74.88,0
SL-0074,ZONE-E,71.24,1
SL-0075,ZONE-A,73.04,1
SL-0076,ZONE-B,78.36,1
SL-0077,ZONE-C,67.56,0
SL-0078,ZONE-D,81.72,3
SL-0079,ZONE-E,70.18,0
SL-0080,ZONE-A,72.43,0
SL-0081,ZONE-B,78.31,1
SL-0082,ZONE-C,69.88,1
SL-0083,ZONE-D,73.03,1
SL-0084,ZONE-E,70.26,1
SL-0085,ZONE-A,77.68,2
SL-0086,ZONE-B,83.88,4
SL-0087,ZONE-C,67.35,0
SL-0088,ZONE-D,73.7,1
SL-0089,ZONE-E,71.16,1
SL-0090,ZONE-A,73.71,1
SL-0091,ZONE-B,78.92,2
SL-0092,ZONE-C,66.98,0
SL-0093,ZONE-D,79.8,3
SL-0094,ZONE-E,67.17,2
SL-0095,ZONE-A,79.27,1
SL-0096,ZONE-B,84.45,8
SL-0097,ZONE-C,63.65,2
SL-0098,ZONE-D,79.58,3
SL-0099,ZONE-E,68.45,1
SL-0100,ZONE-A,76.84,2
SL-0101,ZONE-B,80.96,5
SL-0102,ZONE-C,63.68,1
SL-0103,ZONE-D,80.17,8
SL-0104,ZONE-E,75.65,3
SL-0105,ZONE-A,75.47,3
SL-0106,ZONE-B,84.8,3
SL-0107,ZONE-C,68.7,0
SL-0108,ZONE-D,81.5,8
SL-0109,ZONE-E,70.62,1
SL-0110,ZONE-A,72.54,2
SL-0111,ZONE-B,86.47,3
SL-0112,ZONE-C,70.83,1
SL-0113,ZONE-D,78.65,4
SL-0114,ZONE-E,70.32,1
SL-0115,ZONE-A,73.24,2
SL-0116,ZONE-B,82.47,3
SL-0117,ZONE-C,70.82,2
SL-0118,ZONE-D,78.29,4
SL-0119,ZONE-E,75.19,3
SL-0120,ZONE-A,79.71,3
SL-0121,ZONE-B,81.54,4
SL-0122,ZONE-C,64.08,1
SL-0123,ZONE-D,80.83,4
SL-0124,ZONE-E,66.69,1
SL-0125,ZONE-A,72.89,0
SL-0126,ZONE-B,77.42,4
SL-0127,ZONE-C,71.3,0
SL-0128,ZONE-D,81.82,7
SL-0129,ZONE-E,74.02,1
SL-0130,ZONE-A,73.8,1
SL-0131,ZONE-B,83.29,5
SL-0132,ZONE-C,65.19,1
SL-0133,ZONE-D,74.26,0
