light_id,location,status,wattage,installation_date,last_maintenance,neighborhood_id
SL-0001,POINT (77.5106958425251 12.815878724042625),maintenance_required,200,2019-11-08,2020-06-25 12:00:00,NH-001
SL-0002,POINT (77.51558418138795 12.814498439753033),operational,250,2024-06-14,2024-09-26 12:00:00,NH-001
SL-0003,POINT (77.5086158338086 12.813126760386725),operational,150,2025-02-14,2026-01-18 12:00:00,NH-001
SL-0004,POINT (77.50779402627123 12.81037587054486),operational,250,2019-07-07,2023-12-29 12:00:00,NH-001
SL-0005,POINT (77.5091316746337 12.814945039453955),faulty,150,2016-09-30,2018-06-14 12:00:00,NH-001
SL-0006,POINT (77.50978701506209 12.813928379054792),operational,200,2022-05-08,2023-11-27 12:00:00,NH-001
SL-0007,POINT (77.50851949508201 12.81330076751807),operational,250,2023-01-25,2024-08-31 12:00:00,NH-001
SL-0008,POINT (77.50747673762426 12.808888088203414),operational,150,2021-01-21,2023-09-11 12:00:00,NH-001
SL-0009,POINT (77.52232619200579 12.812533771819004),maintenance_required,100,2021-03-23,2021-10-07 12:00:00,NH-001
SL-0010,POINT (77.51177570124966 12.815528657547434),operational,200,2022-08-23,2024-10-07 12:00:00,NH-001
SL-0011,POINT (77.51207207667923 12.81904689004491),faulty,100,2022-01-05,2024-03-08 12:00:00,NH-001
SL-0012,POINT (77.52018515310938 12.813002122223013),operational,150,2019-01-30,2020-09-05 12:00:00,NH-001
SL-0013,POINT (77.51343627090752 12.822247590084634),operational,200,2020-04-03,2023-08-02 12:00:00,NH-001
SL-0014,POINT (77.51459055929574 12.815286011858332),operational,150,2023-03-23,2024-03-25 12:00:00,NH-001
SL-0015,POINT (77.50759768370852 12.809585976828886),operational,250,2021-04-30,2022-09-17 12:00:00,NH-001
SL-0016,POINT (77.51231097881919 12.815573890134665),faulty,100,2024-11-27,2025-11-23 12:00:00,NH-001
SL-0017,POINT (77.5117164566417 12.819594379767413),operational,200,2019-04-08,2022-02-19 12:00:00,NH-001
SL-0018,POINT (77.51282538099456 12.815974250056856),maintenance_required,100,2019-06-15,2024-04-07 12:00:00,NH-001
SL-0019,POINT (77.50912683946495 12.814053689023995),operational,100,2024-01-20,2025-12-13 12:00:00,NH-001
SL-0020,POINT (77.51273201392993 12.82080687713424),operational,200,2020-10-05,2022-03-27 12:00:00,NH-001
SL-0021,POINT (77.51214177029665 12.815600023031168),operational,200,2016-11-07,2021-02-09 12:00:00,NH-001
SL-0022,POINT (77.50913459950898 12.812898896961672),operational,150,2017-08-21,2024-07-12 12:00:00,NH-001
SL-0023,POINT (77.51209614254023 12.819419405791239),operational,150,2023-01-17,2024-02-04 12:00:00,NH-001
SL-0024,POINT (77.51118316836249 12.8195597469502),operational,150,2023-08-06,2025-06-27 12:00:00,NH-001
SL-0025,POINT (77.51034763157163 12.818080733412605),operational,100,2019-10-11,2025-04-03 12:00:00,NH-001
SL-0026,POINT (77.50821101531555 12.81263113678506),maintenance_required,200,2016-05-18,2023-12-23 12:00:00,NH-001
SL-0027,POINT (77.50832659117465 12.813509913623317),operational,100,2019-06-21,2025-03-13 12:00:00,NH-001
SL-0028,POINT (77.51762061272022 12.813752263860863),operational,200,2018-09-17,2024-04-22 12:00:00,NH-001
SL-0029,POINT (77.51811872190808 12.814295034055064),operational,100,2022-10-28,2024-10-10 12:00:00,NH-001
SL-0030,POINT (77.51385947112345 12.815010121952536),operational,100,2022-01-12,2025-12-13 12:00:00,NH-001
SL-0031,POINT (77.50829647509124 12.811279217914608),operational,250,2022-01-04,2024-06-25 12:00:00,NH-001
SL-0032,POINT (77.508547433173 12.811823031854773),operational,250,2018-03-14,2026-01-17 12:00:00,NH-001
SL-0033,POINT (77.51257793082023 12.821593020419728),operational,200,2023-10-05,2023-11-12 12:00:00,NH-001
SL-0034,POINT (77.52330251669918 12.811997492604107),operational,200,2021-03-10,2023-08-02 12:00:00,NH-001
SL-0035,POINT (77.51388251128354 12.815877697232608),operational,100,2024-09-03,2024-11-14 12:00:00,NH-001
SL-0036,POINT (77.50805387132866 12.811149652221728),operational,200,2019-08-19,2023-09-06 12:00:00,NH-001
SL-0037,POINT (77.50850169003405 12.814454162175425),operational,100,2019-02-12,2019-07-25 12:00:00,NH-001
SL-0038,POINT (77.51098034262682 12.818677395079973),operational,150,2023-03-22,2024-01-07 12:00:00,NH-001
SL-0039,POINT (77.50947762905456 12.81410383163491),maintenance_required,250,2019-03-25,2019-07-11 12:00:00,NH-001
SL-0040,POINT (77.51537655716825 12.814448650896775),operational,150,2017-02-07,2023-09-06 12:00:00,NH-001
SL-0041,POINT (77.51923464492789 12.81363273300706),faulty,100,2017-04-02,2021-11-03 12:00:00,NH-001
SL-0042,POINT (77.50772294605521 12.811329182271054),operational,250,2022-01-07,2025-02-27 12:00:00,NH-001
SL-0043,POINT (77.5142943251756 12.815575945078189),operational,200,2023-01-26,2023-07-13 12:00:00,NH-001
SL-0044,POINT (77.51790488565332 12.813741288078564),operational,100,2020-07-28,2021-01-20 12:00:00,NH-001
SL-0045,POINT (77.513577423644 12.822409042637704),operational,100,2021-09-01,2023-07-02 12:00:00,NH-001
SL-0046,POINT (77.50683087581301 12.80784338590168),operational,150,2019-07-31,2022-06-23 12:00:00,NH-001
SL-0047,POINT (77.52522238911075 12.811441207787997),operational,150,2017-09-19,2020-08-25 12:00:00,NH-001
SL-0048,POINT (77.51667371062506 12.814853954270628),operational,150,2025-02-07,2025-10-04 12:00:00,NH-001
SL-0049,POINT (77.51924295406963 12.813880993638385),operational,250,2020-06-25,2020-08-10 12:00:00,NH-001
SL-0050,POINT (77.50860231527412 12.814827802380872),operational,250,2018-06-02,2024-02-17 12:00:00,NH-001
SL-0051,POINT (77.50923219361167 12.817484375141198),operational,250,2017-02-23,2025-08-21 12:00:00,NH-001
SL-0052,POINT (77.51362283042097 12.815003829728294),operational,200,2024-08-31,2024-12-07 12:00:00,NH-001
SL-0053,POINT (77.51842595525119 12.813925447851345),operational,200,2021-09-25,2025-07-23 12:00:00,NH-001
SL-0054,POINT (77.50707353342638 12.808855009666765),operational,150,2019-09-27,2024-11-02 12:00:00,NH-001
SL-0055,POINT (77.52497677740506 12.811446690127399),operational,150,2021-08-01,2024-01-14 12:00:00,NH-001
SL-0056,POINT (77.50886145238634 12.81738524358359),maintenance_required,250,2019-05-28,2020-09-01 12:00:00,NH-001
SL-0057,POINT (77.51252139565526 12.816705863447208),operational,100,2018-07-21,2021-10-04 12:00:00,NH-001
SL-0058,POINT (77.51028782901945 12.818507738667817),operational,250,2021-12-20,2023-03-17 12:00:00,NH-001
SL-0059,POINT (77.51297630195343 12.815106326654416),operational,150,2022-12-02,2023-08-03 12:00:00,NH-001
SL-0060,POINT (77.51303554481956 12.821294945745807),operational,100,2021-02-06,2021-11-17 12:00:00,NH-001
SL-0061,POINT (77.51219740190432 12.820511044751331),operational,100,2020-01-14,2022-09-16 12:00:00,NH-001
SL-0062,POINT (77.5120820274567 12.820341199244078),operational,200,2021-04-27,2024-03-25 12:00:00,NH-001
SL-0063,POINT (77.51685032184864 12.814507121909319),operational,200,2016-05-24,2021-04-12 12:00:00,NH-001
SL-0064,POINT (77.51516079976645 12.81502199719526),operational,200,2024-06-21,2026-01-07 12:00:00,NH-001
SL-0065,POINT (77.51279706078152 12.81654301049411),operational,100,2021-03-23,2021-09-27 12:00:00,NH-001
SL-0066,POINT (77.50959358688013 12.814460301589587),operational,250,2016-11-16,2024-01-11 12:00:00,NH-001
SL-0067,POINT (77.50982009621383 12.814274073778124),operational,100,2016-06-28,2016-08-08 12:00:00,NH-001
SL-0068,POINT (77.52446882191865 12.811722614948687),operational,150,2021-05-26,2021-10-11 12:00:00,NH-001
SL-0069,POINT (77.5131193563441 12.815897168992798),faulty,150,2020-11-03,2021-07-26 12:00:00,NH-001
SL-0070,POINT (77.5188241860702 12.813535450964565),operational,200,2022-10-27,2025-10-15 12:00:00,NH-001
SL-0071,POINT (77.51658213958473 12.814067534349405),operational,250,2024-05-17,2025-04-02 12:00:00,NH-001
SL-0072,POINT (77.50944706359421 12.815544746189092),operational,150,2019-11-09,2024-07-19 12:00:00,NH-001
SL-0073,POINT (77.50775520084959 12.81009288902825),operational,150,2023-10-12,2025-03-05 12:00:00,NH-001
SL-0074,POINT (77.50881679607286 12.812988889424638),operational,250,2019-05-17,2020-10-13 12:00:00,NH-001
SL-0075,POINT (77.54093558917245 12.818913115195928),operational,150,2018-03-07,2024-06-28 12:00:00,NH-002
SL-0076,POINT (77.5464275140327 12.819775792057275),operational,100,2022-06-03,2022-09-03 12:00:00,NH-002
SL-0077,POINT (77.53859245475897 12.816541551281869),operational,150,2024-01-21,2024-07-06 12:00:00,NH-002
SL-0078,POINT (77.54811952592307 12.819321495697503),operational,200,2023-08-03,2024-04-11 12:00:00,NH-002
SL-0079,POINT (77.5495691604256 12.822218681791155),faulty,250,2019-12-30,2025-09-06 12:00:00,NH-002
SL-0080,POINT (77.54510209264794 12.81628834622143),operational,200,2022-04-14,2025-04-05 12:00:00,NH-002
SL-0081,POINT (77.55000677954041 12.826606845799862),faulty,150,2017-06-01,2022-02-03 12:00:00,NH-002
SL-0082,POINT (77.5468287219933 12.82013338553007),operational,200,2016-05-22,2023-11-02 12:00:00,NH-002
SL-0083,POINT (77.54994441472711 12.823740331667489),operational,150,2022-04-21,2026-01-08 12:00:00,NH-002
SL-0084,POINT (77.54199759537431 12.816631803097774),operational,150,2019-07-11,2021-07-13 12:00:00,NH-002
SL-0085,POINT (77.53992887147803 12.819054458103063),operational,150,2016-08-27,2019-08-14 12:00:00,NH-002
SL-0086,POINT (77.53844973807414 12.816946125488627),faulty,100,2023-08-08,2023-10-11 12:00:00,NH-002
SL-0087,POINT (77.55041064588994 12.827503803280235),operational,100,2025-03-12,2025-10-28 12:00:00,NH-002
SL-0088,POINT (77.54089502045034 12.816073974454222),operational,250,2017-12-01,2020-05-24 12:00:00,NH-002
SL-0089,POINT (77.53725200722987 12.817645223050226),operational,250,2018-06-05,2023-08-26 12:00:00,NH-002
SL-0090,POINT (77.55021366190734 12.81639053930327),operational,100,2023-04-21,2024-09-13 12:00:00,NH-002
SL-0091,POINT (77.5344654994747 12.816135768705262),operational,150,2016-10-15,2019-08-14 12:00:00,NH-002
SL-0092,POINT (77.54549402929396 12.820957397108941),operational,150,2017-06-26,2022-09-08 12:00:00,NH-002
SL-0093,POINT (77.53314279069 12.810467445067895),operational,200,2024-01-17,2024-10-25 12:00:00,NH-002
SL-0094,POINT (77.54872173960563 12.819518351656862),operational,100,2018-02-01,2023-08-04 12:00:00,NH-002
SL-0095,POINT (77.54859753839733 12.819259884957129),maintenance_required,150,2020-03-06,2025-08-25 12:00:00,NH-002
SL-0096,POINT (77.54020598817726 12.818609281844697),operational,200,2018-06-25,2023-02-26 12:00:00,NH-002
SL-0097,POINT (77.53421665472517 12.816397663001142),operational,100,2017-09-24,2022-10-10 12:00:00,NH-002
SL-0098,POINT (77.55028464504677 12.826693290009134),operational,150,2025-03-15,2026-02-20 12:00:00,NH-002
SL-0099,POINT (77.54898424775416 12.819285815697267),operational,250,2021-12-29,2024-04-17 12:00:00,NH-002
SL-0100,POINT (77.5333016986072 12.816029946089055),faulty,250,2023-08-20,2024-04-27 12:00:00,NH-002
SL-0101,POINT (77.54279772611692 12.816332037111772),operational,200,2021-12-28,2025-08-12 12:00:00,NH-002
SL-0102,POINT (77.54617450067745 12.816067616151843),operational,200,2018-12-29,2023-02-08 12:00:00,NH-002
SL-0103,POINT (77.54905740842555 12.822647077096459),operational,150,2019-05-11,2020-01-13 12:00:00,NH-002
SL-0104,POINT (77.54486797320111 12.818662530569343),operational,150,2018-10-15,2021-07-22 12:00:00,NH-002
SL-0105,POINT (77.54414660611815 12.816108607157116),operational,100,2021-03-17,2023-02-22 12:00:00,NH-002
SL-0106,POINT (77.54282766379771 12.81760104480393),operational,100,2024-01-24,2024-08-18 12:00:00,NH-002
SL-0107,POINT (77.54796810353395 12.81730923451235),operational,150,2018-01-15,2021-09-29 12:00:00,NH-002
SL-0108,POINT (77.5417558367429 12.81619629432199),maintenance_required,200,2024-08-09,2024-08-24 12:00:00,NH-002
SL-0109,POINT (77.54945342571598 12.817409568114966),faulty,200,2023-08-12,2025-03-31 12:00:00,NH-002
SL-0110,POINT (77.53927782589908 12.818914903897555),operational,100,2017-11-29,2020-07-29 12:00:00,NH-002
SL-0111,POINT (77.54867830166646 12.817236372547983),operational,200,2023-11-12,2025-04-24 12:00:00,NH-002
SL-0112,POINT (77.54884417574033 12.82271717118775),operational,150,2022-12-29,2025-03-25 12:00:00,NH-002
SL-0113,POINT (77.54818048091767 12.816379723340752),operational,200,2018-03-24,2024-05-09 12:00:00,NH-002
SL-0114,POINT (77.53751783729894 12.816457277004293),faulty,250,2017-11-06,2024-01-05 12:00:00,NH-002
