light_id,season,avg_temperature_c,rainfall_mm,failure_risk_score,predicted_failure_date
SL-0001,monsoon,28.5,186.86,0.99,2026-03-22
SL-0001,summer,33.49,20.68,0.92,2026-03-24
SL-0001,winter,22.93,13.29,0.55,2026-04-21
SL-0002,monsoon,25.38,198.41,0.76,2026-03-24
SL-0002,summer,34.73,20.42,0.7,2026-04-13
SL-0002,winter,19.03,14.87,0.41,
SL-0003,monsoon,29.26,245.97,0.77,2026-03-24
SL-0003,summer,34.56,35.04,0.6,2026-04-19
SL-0003,winter,23.55,15.8,0.42,
SL-0004,monsoon,28.92,219.9,0.88,2026-04-03
SL-0004,summer,33.61,32.45,0.79,2026-04-01
SL-0004,winter,19.84,17.99,0.43,
SL-0005,monsoon,28.02,186.62,0.86,
SL-0005,summer,33.58,26.46,0.67,
SL-0005,winter,23.97,7.07,0.54,
SL-0006,monsoon,27.73,213.74,0.89,2026-04-07
SL-0006,summer,32.13,21.28,0.82,2026-04-15
SL-0006,winter,21.53,17.44,0.53,2026-04-30
SL-0007,monsoon,26.71,235.85,0.91,2026-03-28
SL-0007,summer,33.95,18.27,0.67,2026-04-27
SL-0007,winter,18.75,16.13,0.31,
SL-0008,monsoon,28.12,204.68,0.92,2026-03-31
SL-0008,summer,37.25,18.46,0.66,2026-03-27
SL-0008,winter,20.65,7.35,0.5,
SL-0009,monsoon,26.76,158.0,0.99,2026-03-22
SL-0009,summer,32.42,19.96,0.8,2026-04-21
SL-0009,winter,18.71,12.31,0.58,2026-05-26
SL-0010,monsoon,26.43,162.74,0.88,2026-04-12
SL-0010,summer,34.62,29.26,0.75,2026-04-05
SL-0010,winter,19.14,18.69,0.45,
SL-0011,monsoon,26.69,198.13,0.99,
SL-0011,summer,33.79,17.74,0.67,
SL-0011,winter,21.89,13.66,0.48,
SL-0012,monsoon,28.79,209.16,0.86,2026-04-12
SL-0012,summer,35.2,24.99,0.72,2026-04-07
SL-0012,winter,21.29,14.03,0.52,2026-05-14
SL-0013,monsoon,25.62,172.03,0.99,2026-03-23
SL-0013,summer,33.91,38.52,0.68,2026-05-11
SL-0013,winter,22.03,11.48,0.35,
SL-0014,monsoon,27.82,174.68,0.99,2026-03-22
SL-0014,summer,35.87,30.31,0.67,2026-04-10
SL-0014,winter,19.26,9.02,0.37,
SL-0015,monsoon,25.53,210.97,0.99,2026-03-23
SL-0015,summer,36.26,17.02,0.75,2026-04-26
SL-0015,winter,19.7,8.02,0.52,2026-04-09
SL-0016,monsoon,28.27,220.13,0.94,
SL-0016,summer,32.43,30.95,0.58,
SL-0016,winter,19.53,6.84,0.31,
SL-0017,monsoon,29.95,237.87,0.99,2026-03-22
SL-0017,summer,33.73,15.04,0.78,2026-04-19
SL-0017,winter,22.74,8.91,0.51,2026-05-13
SL-0018,monsoon,27.8,237.85,0.99,2026-03-22
SL-0018,summer,35.63,39.42,0.92,2026-03-29
SL-0018,winter,19.17,7.28,0.55,2026-06-04
SL-0019,monsoon,29.5,232.84,0.89,2026-03-24
SL-0019,summer,35.41,29.96,0.65,2026-05-11
SL-0019,winter,23.27,7.48,0.41,
SL-0020,monsoon,27.41,173.86,0.98,2026-03-24
SL-0020,summer,35.76,25.24,0.75,2026-04-22
SL-0020,winter,22.68,5.29,0.54,2026-05-01
SL-0021,monsoon,25.73,206.82,0.97,2026-03-25
SL-0021,summer,33.21,25.51,0.72,2026-04-02
SL-0021,winter,20.54,11.48,0.53,2026-06-14
SL-0022,monsoon,28.56,237.67,0.99,2026-03-22
SL-0022,summer,32.48,20.65,0.82,2026-04-02
SL-0022,winter,22.08,10.46,0.48,
SL-0023,monsoon,28.66,223.56,0.99,2026-03-23
SL-0023,summer,37.71,36.5,0.78,2026-03-27
SL-0023,winter,20.2,13.94,0.49,
SL-0024,monsoon,28.3,240.12,0.97,2026-03-26
SL-0024,summer,35.72,21.28,0.69,2026-03-30
SL-0024,winter,20.24,11.61,0.48,
SL-0025,monsoon,25.73,162.7,0.93,2026-03-22
SL-0025,summer,32.84,34.16,0.85,2026-04-10
SL-0025,winter,23.61,7.47,0.36,
SL-0026,monsoon,27.62,214.69,0.99,2026-03-23
SL-0026,summer,34.4,24.66,0.86,2026-04-15
SL-0026,winter,18.92,17.7,0.59,2026-03-28
SL-0027,monsoon,29.91,160.04,0.99,2026-03-22
SL-0027,summer,33.6,20.81,0.71,2026-04-10
SL-0027,winter,24.55,5.66,0.46,
SL-0028,monsoon,27.09,176.15,0.95,2026-03-25
SL-0028,summer,32.49,23.48,0.79,2026-03-24
SL-0028,winter,23.06,19.75,0.52,2026-04-05
SL-0029,monsoon,29.34,216.97,0.94,2026-03-27
SL-0029,summer,33.14,15.74,0.78,2026-04-25
SL-0029,winter,19.37,19.07,0.32,
SL-0030,monsoon,29.16,236.46,0.85,2026-03-28
SL-0030,summer,32.21,15.23,0.79,2026-04-24
SL-0030,winter,21.18,16.43,0.36,
SL-0031,monsoon,27.11,243.94,0.99,2026-03-23
SL-0031,summer,35.19,38.73,0.74,2026-03-24
SL-0031,winter,18.53,10.16,0.53,2026-05-05
SL-0032,monsoon,28.15,171.68,0.99,2026-03-23
SL-0032,summer,32.42,34.08,0.76,2026-04-11
SL-0032,winter,18.06,7.28,0.41,
SL-0033,monsoon,29.93,202.5,0.96,2026-03-27
SL-0033,summer,35.63,15.17,0.67,2026-05-07
SL-0033,winter,21.93,9.32,0.3,
SL-0034,monsoon,28.99,221.8,0.91,2026-03-26
SL-0034,summer,35.11,21.18,0.65,2026-04-07
SL-0034,winter,19.17,5.49,0.39,
SL-0035,monsoon,28.76,186.14,0.85,2026-04-03
SL-0035,summer,35.44,21.93,0.57,2026-04-02
SL-0035,winter,23.55,7.2,0.29,
SL-0036,monsoon,26.56,150.34,0.87,2026-03-29
SL-0036,summer,35.74,22.89,0.79,2026-04-11
SL-0036,winter,24.89,10.44,0.52,2026-04-12
SL-0037,monsoon,29.53,191.75,0.99,2026-03-22
SL-0037,summer,36.25,26.5,0.74,2026-04-26
SL-0037,winter,23.78,14.11,0.44,
SL-0038,monsoon,25.03,234.37,0.87,2026-04-13
SL-0038,summer,35.68,34.56,0.78,2026-04-22
SL-0038,winter,23.53,12.63,0.5,
SL-0039,monsoon,28.41,216.74,0.99,2026-03-23
SL-0039,summer,34.11,24.61,0.92,2026-04-01
SL-0039,winter,23.85,6.82,0.56,2026-04-21
SL-0040,monsoon,28.84,156.15,0.86,2026-04-08
SL-0040,summer,32.33,36.6,0.78,2026-04-18
