neighborhood_id,population_density,urban_classification
NH-001,10293,suburban
NH-002,27531,urban
NH-003,7818,suburban
NH-004,25202,urban
NH-005,25222,urban
NH-006,62147,urban
NH-007,37643,urban
NH-008,11435,suburban
NH-009,62397,urban
NH-010,18073,urban
NH-011,19662,urban
NH-012,18414,urban
NH-013,12810,suburban
NH-014,13207,suburban
NH-015,52657,urban
NH-016,21174,urban
NH-017,19650,urban
NH-018,32304,urban
NH-019,15110,urban
NH-020,27400,urban
NH-021,13934,suburban
NH-022,27450,urban
NH-023,54416,urban
NH-024,81975,urban
NH-025,7831,suburban
NH-026,20709,urban
NH-027,46347,urban
NH-028,44458,urban
NH-029,16062,urban
NH-030,24160,urban
NH-031,23657,urban
NH-032,42164,urban
NH-033,6995,suburban
NH-034,19974,urban
NH-035,52585,urban
NH-036,25906,urban
NH-037,22831,urban
NH-038,23733,urban
NH-039,10637,suburban
NH-040,15746,urban
NH-041,16401,urban
NH-042,19116,urban
NH-043,29867,urban
NH-044,20167,urban
NH-045,57397,urban
NH-046,11699,suburban
NH-047,26310,urban
NH-048,6220,suburban
NH-049,6909,suburban
NH-050,18866,urban
