request_id,light_id,reported_at,resolved_at,issue_type
REQ-0001,SL-1953,2024-12-05 13:45:35,2024-12-10 14:45:35,wiring
REQ-0002,SL-0674,2024-12-06 13:45:35,2024-12-08 17:45:35,bulb_failure
REQ-0003,SL-0870,2024-12-06 13:45:35,2024-12-10 16:45:35,sensor_failure
REQ-0004,SL-2160,2024-12-06 13:45:35,2024-12-09 17:45:35,wiring
REQ-0005,SL-1438,2024-12-07 13:45:35,2024-12-11 17:45:35,bulb_failure
REQ-0006,SL-1571,2024-12-08 13:45:35,2024-12-10 18:45:35,wiring
REQ-0007,SL-3435,2024-12-08 13:45:35,2024-12-11 19:45:35,vandalism
REQ-0008,SL-4076,2024-12-09 13:45:35,2024-12-12 16:45:35,bulb_failure
REQ-0009,SL-0871,2024-12-10 13:45:35,,bulb_failure
REQ-0010,SL-3130,2024-12-10 13:45:35,2024-12-12 17:45:35,wiring
REQ-0011,SL-4950,2024-12-10 13:45:35,2024-12-15 20:45:35,wiring
REQ-0012,SL-4885,2024-12-10 13:45:35,2024-12-13 16:45:35,bulb_failure
REQ-0013,SL-4259,2024-12-11 13:45:35,2024-12-15 18:45:35,wiring
REQ-0014,SL-0170,2024-12-11 13:45:35,2024-12-14 16:45:35,wiring
REQ-0015,SL-1499,2024-12-11 13:45:35,2024-12-13 16:45:35,wiring
REQ-0016,SL-1019,2024-12-11 13:45:35,2024-12-13 15:45:35,bulb_failure
REQ-0017,SL-2811,2024-12-12 13:45:35,2024-12-14 18:45:35,power_supply
REQ-0018,SL-2187,2024-12-12 13:45:35,2024-12-14 21:45:35,bulb_failure
REQ-0019,SL-4724,2024-12-12 13:45:35,2024-12-17 21:45:35,wiring
REQ-0020,SL-2718,2024-12-14 13:45:35,2024-12-21 19:45:35,power_supply
REQ-0021,SL-4031,2024-12-15 13:45:35,,wiring
REQ-0022,SL-3814,2024-12-15 13:45:35,2024-12-20 16:45:35,bulb_failure
REQ-0023,SL-2456,2024-12-15 13:45:35,2024-12-18 14:45:35,power_supply
REQ-0024,SL-1752,2024-12-16 13:45:35,2024-12-18 14:45:35,wiring
REQ-0025,SL-3447,2024-12-16 13:45:35,2024-12-21 15:45:35,sensor_failure
REQ-0026,SL-4132,2024-12-16 13:45:35,2024-12-17 19:45:35,sensor_failure
REQ-0027,SL-2082,2024-12-17 13:45:35,2024-12-20 16:45:35,bulb_failure
REQ-0028,SL-2819,2024-12-17 13:45:35,2024-12-18 20:45:35,bulb_failure
REQ-0029,SL-1259,2024-12-18 13:45:35,2024-12-22 19:45:35,vandalism
REQ-0030,SL-4461,2024-12-19 13:45:35,2024-12-22 15:45:35,bulb_failure
REQ-0031,SL-3649,2024-12-20 13:45:35,2024-12-22 16:45:35,bulb_failure
REQ-0032,SL-0240,2024-12-20 13:45:35,2024-12-23 21:45:35,bulb_failure
REQ-0033,SL-2561,2024-12-20 13:45:35,2024-12-23 14:45:35,bulb_failure
REQ-0034,SL-3102,2024-12-21 13:45:35,2024-12-24 14:45:35,wiring
REQ-0035,SL-1887,2024-12-21 13:45:35,2024-12-24 20:45:35,pole_damage
REQ-0036,SL-3976,2024-12-21 13:45:35,2024-12-26 14:45:35,vandalism
REQ-0037,SL-1142,2024-12-22 13:45:35,2024-12-24 18:45:35,power_supply
REQ-0038,SL-2160,2024-12-22 13:45:35,2024-12-25 14:45:35,bulb_failure
REQ-0039,SL-4093,2024-12-22 13:45:35,2024-12-25 20:45:35,sensor_failure
REQ-0040,SL-0713,2024-12-22 13:45:35,2024-12-25 20:45:35,wiring
REQ-0041,SL-3713,2024-12-23 13:45:35,2024-12-30 21:45:35,bulb_failure
REQ-0042,SL-4008,2024-12-23 13:45:35,2024-12-24 20:45:35,wiring
REQ-0043,SL-0527,2024-12-24 13:45:35,2024-12-28 21:45:35,wiring
REQ-0044,SL-1233,2024-12-24 13:45:35,2024-12-28 20:45:35,wiring
REQ-0045,SL-3230,2024-12-25 13:45:35,2024-12-28 19:45:35,power_supply
REQ-0046,SL-2174,2024-12-25 13:45:35,2024-12-28 21:45:35,bulb_failure
REQ-0047,SL-1787,2024-12-25 13:45:35,2025-01-01 21:45:35,pole_damage
REQ-0048,SL-2848,2024-12-26 13:45:35,2024-12-29 17:45:35,sensor_failure
REQ-0049,SL-0083,2024-12-27 13:45:35,2024-12-30 16:45:35,sensor_failure
REQ-0050,SL-2102,2024-12-28 13:45:35,,bulb_failure
REQ-0051,SL-3423,2024-12-28 13:45:35,2024-12-30 14:45:35,bulb_failure
REQ-0052,SL-1197,2024-12-29 13:45:35,2025-01-02 20:45:35,sensor_failure
REQ-0053,SL-2581,2024-12-29 13:45:35,2024-12-31 18:45:35,pole_damage
REQ-0054,SL-2179,2024-12-30 13:45:35,2025-01-06 18:45:35,wiring
REQ-0055,SL-4323,2024-12-30 13:45:35,2025-01-02 20:45:35,wiring
REQ-0056,SL-3046,2024-12-30 13:45:35,2025-01-04 16:45:35,sensor_failure
REQ-0057,SL-1628,2024-12-31 13:45:35,2025-01-01 19:45:35,pole_damage
REQ-0058,SL-0989,2025-01-01 13:45:35,2025-01-07 15:45:35,pole_damage
REQ-0059,SL-4486,2025-01-01 13:45:35,2025-01-08 17:45:35,pole_damage
REQ-0060,SL-4283,2025-01-01 13:45:35,2025-01-04 15:45:35,sensor_failure
REQ-0061,SL-4199,2025-01-02 13:45:35,2025-01-07 15:45:35,vandalism
REQ-0062,SL-4558,2025-01-02 13:45:35,2025-01-06 20:45:35,vandalism
REQ-0063,SL-0094,2025-01-02 13:45:35,2025-01-04 19:45:35,bulb_failure
