neighborhood_id,name,boundary,population
NH-001,Koramangala,"POLYGON ((77.51611277273051 12.81853758758065, 77.50612389473814 12.8129313977794, 77.51877533479735 12.81983005945997, 77.50864215623632 12.812967635117955, 77.50681876366355 12.810575684765992, 77.51611277273051 12.81853758758065))",71236
NH-002,Indiranagar,"POLYGON ((77.52281533184978 12.812117778969629, 77.54519415870249 12.827000283723741, 77.53819338137924 12.808971427561898, 77.53607673719137 12.81459532660408, 77.54322737531162 12.824175510514582, 77.52281533184978 12.812117778969629))",55767
NH-003,Whitefield,"POLYGON ((77.5589136267135 12.818740336817113, 77.55233701463472 12.83507651463255, 77.55258106243961 12.831236689508492, 77.5628247653715 12.831336811240357, 77.57194274833225 12.831469386364317, 77.57585258543129 12.816780196119662, 77.5589136267135 12.818740336817113))",75070
NH-004,Electronic City,"POLYGON ((77.60157148778205 12.816878660276434, 77.59308508827824 12.811125704982484, 77.59324545532942 12.819698665204626, 77.60130862850521 12.828789618558146, 77.57702724768647 12.828027643710211, 77.60020260841536 12.833244032458532, 77.60157148778205 12.816878660276434))",168386
NH-005,Jayanagar,"POLYGON ((77.60882051484992 12.811834973212141, 77.6032529956644 12.812601173213613, 77.62071362185769 12.82737022052345, 77.61004683680943 12.807593080326779, 77.61418809248278 12.809310620889345, 77.61002808560174 12.823506115764731, 77.61994499956073 12.819902031176845, 77.60882051484992 12.811834973212141))",154473
NH-006,Malleshwaram,"POLYGON ((77.64472546110503 12.813579171201882, 77.6439607373868 12.82289960592278, 77.63395189313374 12.821867203811536, 77.62661028073576 12.808568058419842, 77.63413135541494 12.819532741024776, 77.6297344145033 12.808725223842801, 77.64472546110503 12.813579171201882))",147938
NH-007,Rajajinagar,"POLYGON ((77.66773504500536 12.817689106972223, 77.66876933102763 12.80572749411793, 77.67468132847544 12.820050580179936, 77.65882975513541 12.821679361657889, 77.66443147019254 12.82314459911568, 77.67646922051905 12.809255685636343, 77.65726994624028 12.815525410082056, 77.66773504500536 12.817689106972223))",150121
NH-008,Banashankari,"POLYGON ((77.68329057375382 12.81273505880404, 77.68938256001887 12.811011894940384, 77.69292641204446 12.817637902711027, 77.7 12.811176861561977, 77.68507790891806 12.811482319923359, 77.68173281954374 12.815478558003809, 77.68390012597985 12.82320222526543, 77.69750696846391 12.81163301301725, 77.68329057375382 12.81273505880404))",57977
NH-009,BTM Layout,"POLYGON ((77.50370420599073 12.860625053767905, 77.51199732701829 12.84237460992713, 77.5021446174841 12.855341239988633, 77.50776666907089 12.854822282895658, 77.504545010989 12.856202454140583, 77.50195243466703 12.862147879050301, 77.50691819831223 12.843520360447556, 77.5 12.849699207135691, 77.50370420599073 12.860625053767905))",148806
NH-010,HSR Layout,"POLYGON ((77.52578237331588 12.864458784965631, 77.53242551061972 12.860480362621939, 77.5288321031757 12.854227249344277, 77.52344150116403 12.864946439888168, 77.5367083964616 12.867232734156444, 77.54202194156636 12.841849084776186, 77.52725171432276 12.862775672374433, 77.54826234989856 12.847422049617322, 77.52578237331588 12.864458784965631))",120466
