light_id,location,status,wattage,installation_date,last_maintenance,neighborhood_id
SL-0001,POINT (77.5155173600398 12.817674148694243),operational,150,2023-11-16,2025-11-02 12:00:00,NH-001
SL-0002,POINT (77.50939556748045 12.813061642930533),operational,150,2019-02-22,2019-04-12 12:00:00,NH-001
SL-0003,POINT (77.51034406209656 12.813673401564696),operational,200,2023-03-24,2025-09-11 12:00:00,NH-001
SL-0004,POINT (77.50813260311429 12.812124432611185),operational,100,2021-02-19,2023-05-18 12:00:00,NH-001
SL-0005,POINT (77.51443384840844 12.817496822309938),faulty,250,2022-11-04,2025-04-27 12:00:00,NH-001
SL-0006,POINT (77.51536053822943 12.817709087241118),operational,250,2022-02-10,2024-01-15 12:00:00,NH-001
SL-0007,POINT (77.51273478769619 12.816567630806428),operational,100,2016-12-23,2018-09-27 12:00:00,NH-001
SL-0008,POINT (77.5098128549864 12.81497417698744),maintenance_required,250,2022-03-26,2022-09-07 12:00:00,NH-001
SL-0009,POINT (77.51013114095477 12.813627917654603),maintenance_required,250,2022-04-22,2024-12-04 12:00:00,NH-001
SL-0010,POINT (77.51243566480395 12.81644059681989),operational,200,2022-05-08,2022-06-29 12:00:00,NH-001
SL-0011,POINT (77.50864142208222 12.814328421059402),operational,200,2017-11-10,2020-03-11 12:00:00,NH-001
SL-0012,POINT (77.50848975156335 12.812103823288462),maintenance_required,200,2019-10-21,2025-06-23 12:00:00,NH-001
SL-0013,POINT (77.50915076422721 12.81310807579977),maintenance_required,250,2023-10-08,2025-10-01 12:00:00,NH-001
SL-0014,POINT (77.50957366799902 12.813120599878278),operational,100,2020-10-10,2020-12-02 12:00:00,NH-001
SL-0015,POINT (77.51277441175712 12.815685973262985),operational,250,2020-03-23,2024-05-17 12:00:00,NH-001
SL-0016,POINT (77.50862092664886 12.812212112116391),operational,100,2023-11-30,2025-04-08 12:00:00,NH-001
SL-0017,POINT (77.50827827364267 12.812413694410095),maintenance_required,100,2021-01-23,2023-02-26 12:00:00,NH-001
SL-0018,POINT (77.50985290202667 12.814982844421907),operational,150,2019-01-09,2022-04-24 12:00:00,NH-001
SL-0019,POINT (77.50747545876442 12.811403818780468),operational,200,2024-10-31,2025-06-11 12:00:00,NH-001
SL-0020,POINT (77.51435385600986 12.816975329524329),operational,150,2024-02-05,2024-10-03 12:00:00,NH-001
SL-0021,POINT (77.51760332790082 12.819045271204113),operational,100,2022-07-25,2025-02-04 12:00:00,NH-001
SL-0022,POINT (77.51088815829588 12.814351990774776),operational,150,2024-08-15,2024-11-10 12:00:00,NH-001
SL-0023,POINT (77.51544468161953 12.817818796736864),operational,200,2024-01-29,2025-02-21 12:00:00,NH-001
