light_id,season,avg_temperature_c,rainfall_mm,failure_risk_score,predicted_failure_date
SL-0001,monsoon,27.42,221.61,0.87,2025-12-20
SL-0001,summer,32.18,30.34,0.77,2025-12-13
SL-0001,winter,21.22,10.12,0.37,
SL-0002,monsoon,29.61,163.47,0.99,2025-12-03
SL-0002,summer,35.84,33.28,0.76,2025-12-06
SL-0002,winter,22.16,13.25,0.39,
SL-0003,monsoon,25.65,174.05,0.92,2025-12-07
SL-0003,summer,37.74,15.87,0.67,2025-12-13
SL-0003,winter,20.13,16.91,0.32,
SL-0004,monsoon,25.0,245.54,0.92,2025-12-07
SL-0004,summer,33.65,31.39,0.67,2026-01-30
SL-0004,winter,18.99,6.93,0.48,
SL-0005,monsoon,29.68,154.57,0.94,
SL-0005,summer,32.67,34.77,0.67,
SL-0005,winter,24.66,14.02,0.38,
SL-0006,monsoon,28.27,204.88,0.98,2025-12-03
SL-0006,summer,34.28,22.56,0.71,2025-12-29
SL-0006,winter,24.33,9.61,0.5,
SL-0007,monsoon,27.0,185.68,0.94,2025-12-13
SL-0007,summer,35.63,27.41,0.79,2025-12-16
SL-0007,winter,20.73,11.64,0.39,
SL-0008,monsoon,26.74,167.83,0.99,2025-12-03
SL-0008,summer,35.32,33.11,0.9,2025-12-10
SL-0008,winter,18.57,14.47,0.52,2025-12-12
SL-0009,monsoon,26.05,226.48,0.99,2025-12-04
SL-0009,summer,32.75,31.59,0.77,2025-12-21
SL-0009,winter,24.09,9.75,0.55,2026-01-07
SL-0010,monsoon,29.81,170.13,0.95,2025-12-10
SL-0010,summer,32.49,20.78,0.72,2025-12-31
SL-0010,winter,18.02,18.46,0.34,
SL-0011,monsoon,28.23,168.58,0.98,2025-12-05
SL-0011,summer,33.75,27.88,0.83,2025-12-18
SL-0011,winter,22.82,13.17,0.52,2025-12-16
SL-0012,monsoon,26.97,218.32,0.99,2025-12-04
SL-0012,summer,32.54,36.79,0.92,2025-12-16
SL-0012,winter,18.25,10.32,0.65,2026-01-01
SL-0013,monsoon,29.47,155.14,0.98,2025-12-05
SL-0013,summer,36.4,15.35,0.82,2025-12-12
SL-0013,winter,23.27,16.12,0.54,2026-01-28
SL-0014,monsoon,26.63,189.17,0.95,2025-12-08
SL-0014,summer,34.36,20.0,0.8,2026-01-06
SL-0014,winter,23.07,7.37,0.48,
SL-0015,monsoon,27.77,202.24,0.97,2025-12-07
SL-0015,summer,36.89,28.21,0.75,2025-12-14
SL-0015,winter,20.55,11.94,0.45,
SL-0016,monsoon,27.24,173.77,0.82,2025-12-14
SL-0016,summer,36.06,25.95,0.66,2025-12-27
SL-0016,winter,19.81,19.96,0.38,
SL-0017,monsoon,27.96,239.27,0.97,2025-12-04
SL-0017,summer,36.38,18.91,0.9,2025-12-12
SL-0017,winter,24.44,6.92,0.52,2025-12-21
SL-0018,monsoon,29.73,216.87,0.98,2025-12-04
SL-0018,summer,33.66,29.02,0.68,2026-01-08
SL-0018,winter,23.21,11.11,0.54,2026-01-29
SL-0019,monsoon,25.8,241.52,0.82,2025-12-20
SL-0019,summer,37.58,24.73,0.56,2026-01-18
SL-0019,winter,21.0,7.87,0.3,
SL-0020,monsoon,28.29,242.96,0.88,2025-12-13
SL-0020,summer,32.2,16.04,0.59,2026-02-03
SL-0020,winter,19.87,13.75,0.31,
SL-0021,monsoon,27.04,193.78,0.99,2025-12-03
SL-0021,summer,34.11,15.28,0.64,2025-12-17
SL-0021,winter,18.82,8.19,0.41,
SL-0022,monsoon,25.06,207.54,0.75,2025-12-09
SL-0022,summer,33.78,35.31,0.57,2026-01-18
SL-0022,winter,19.58,17.05,0.29,
SL-0023,monsoon,27.25,199.79,0.76,2025-12-29
SL-0023,summer,35.75,33.83,0.58,2026-01-02
SL-0023,winter,19.85,15.47,0.35,
SL-0024,monsoon,25.03,235.24,0.96,2025-12-07
SL-0024,summer,34.54,30.54,0.71,2026-01-02
SL-0024,winter,21.67,6.67,0.42,
SL-0025,monsoon,27.13,155.18,0.84,2025-12-16
SL-0025,summer,32.17,32.3,0.68,2026-01-29
SL-0025,winter,21.75,8.64,0.27,
SL-0026,monsoon,25.87,180.96,0.98,2025-12-05
SL-0026,summer,33.13,19.12,0.73,2025-12-24
SL-0026,winter,24.3,16.1,0.36,
SL-0027,monsoon,29.57,156.11,0.99,2025-12-04
SL-0027,summer,35.74,37.54,0.8,2025-12-23
SL-0027,winter,24.46,17.64,0.41,
SL-0028,monsoon,26.28,194.16,0.89,2025-12-16
SL-0028,summer,34.06,30.98,0.73,2026-01-11
SL-0028,winter,22.56,9.96,0.54,2025-12-23
SL-0029,monsoon,29.24,171.62,0.98,2025-12-04
SL-0029,summer,37.81,23.06,0.73,2025-12-07
SL-0029,winter,19.43,17.23,0.4,
SL-0030,monsoon,27.18,210.0,0.9,2025-12-18
SL-0030,summer,35.69,39.35,0.74,2026-01-18
SL-0030,winter,24.47,7.62,0.54,2025-12-27
SL-0031,monsoon,28.31,161.82,0.99,2025-12-03
SL-0031,summer,37.24,27.04,0.94,2025-12-06
SL-0031,winter,18.48,12.93,0.45,
SL-0032,monsoon,26.74,164.88,0.86,2025-12-24
SL-0032,summer,36.79,18.14,0.8,2025-12-14
SL-0032,winter,20.12,19.48,0.41,
SL-0033,monsoon,29.17,150.06,0.94,2025-12-09
SL-0033,summer,34.94,36.83,0.73,2025-12-30
SL-0033,winter,22.47,9.02,0.48,
SL-0034,monsoon,26.37,177.35,0.98,2025-12-03
SL-0034,summer,37.38,25.25,0.66,2025-12-18
SL-0034,winter,22.95,14.66,0.4,
SL-0035,monsoon,25.24,155.77,0.87,2025-12-18
SL-0035,summer,37.91,29.7,0.73,2025-12-28
SL-0035,winter,18.44,5.93,0.47,
